"","NonCancer","NonCancer","NonCancer","NonCancer","NonCancer","NonCancer","Cancer","NonCancer","NonCancer","NonCancer","NonCancer","NonCancer","NonCancer","Cancer","NonCancer","NonCancer","NonCancer","NonCancer","NonCancer","NonCancer","NonCancer","NonCancer","NonCancer","NonCancer","NonCancer","NonCancer","NonCancer","NonCancer","NonCancer","NonCancer","NonCancer","NonCancer","NonCancer","NonCancer","NonCancer","NonCancer","NonCancer","NonCancer","NonCancer","NonCancer","NonCancer","NonCancer","NonCancer","NonCancer","NonCancer","NonCancer","NonCancer","NonCancer","NonCancer","NonCancer","NonCancer","NonCancer","NonCancer","NonCancer","NonCancer","NonCancer","NonCancer","NonCancer","NonCancer","NonCancer","NonCancer","NonCancer","NonCancer","NonCancer","NonCancer","NonCancer","NonCancer","NonCancer","NonCancer","NonCancer","NonCancer"
"ENSG00000004059",6.95070719898477,6.64894419389675,6.93109630646997,6.88796338894628,6.52198978504209,6.34115164915813,7.52968899209792,6.53992872821884,5.5967159599423,6.60218712577466,7.21604847702968,6.59157795867142,6.23691774041414,8.19275816765027,6.92055281825421,7.097276594313,7.21924765228301,6.67317557739614,8.01583599907171,7.15166867837744,8.42258891348834,6.012262310578,7.81543401981135,7.93293471712226,7.32509306601139,5.74293422507365,5.22073535813018,7.78139932445177,8.25404696294787,7.93759974596097,8.21127086129124,7.94110597963808,5.99170935710658,6.12317960867595,7.630162247168,6.79336535846923,6.3238527964173,6.99977630098675,6.79760570011134,7.37447925616891,6.72078523187631,6.07771502141249,6.21279680890739,6.63944395101192,6.08524876331551,7.63259935138821,8.41601920286305,6.34509771032942,6.971389166184,6.63488052075618,6.34777481183215,5.31900626343147,6.8239904337062,6.19995027605117,6.49080521715548,6.9889567283239,6.06819735108979,6.1738216558741,6.64068502791577,6.68218331683446,7.01028444766946,6.31710956728649,6.84132073702283,6.40835222272521,5.91962358357313,6.78203644940415,6.72358125432145,7.98355146778337,8.103512453012,8.17910394821621,8.1704960480938
"ENSG00000004455",3.6617295258987,4.57536306151564,3.77309447240348,2.43138576736413,3.27591544467398,3.02683673838065,-2.28569430371562,2.17779431093646,-1.82113655494359,3.70096528025284,2.95803214596251,2.65926476618299,3.06699273897183,-1.72162696450517,2.78752739962342,0.202458831005054,-1.62937528814632,3.79275719314882,-2.56630598258707,2.62810672232043,4.28382484353249,2.3118225924369,4.63207287896335,5.02237780431597,2.81372297158887,3.79210028187754,3.17856590388624,2.807593264997,4.28286723898437,3.48978721059051,3.06531713358598,4.54916401425659,4.04741878969287,3.60533130381333,2.83692843335505,3.9587889676766,4.0900556118086,-0.219392219475415,4.85219083787694,3.41470910095744,1.59150221493135,3.38312802951684,5.61013230645278,2.50428436773029,2.9153237618732,-1.74894359979637,2.99171020314762,2.23780369715751,3.62089191909986,1.26458940430742,1.29420613029318,2.31386296015551,2.57606292026262,3.86304597359101,3.88457409968068,2.40083388670942,5.43251509276076,5.08399024564503,3.65506894607843,4.21087759790887,2.89385085299151,3.26874654572509,3.19547599415465,3.74955384117589,2.48051194931543,3.05571809943745,4.43031691768623,2.88940431322782,3.599764645876,3.74943947294196,2.93857811893903
"ENSG00000004534",5.59424592918271,4.48299904336698,4.06260108959847,1.81471440691564,2.56221962983063,0.363871725658216,-2.28569430371562,2.78351537182441,4.32861056456109,5.52838582536455,2.51057316899129,3.27593612663149,3.62338608749622,6.60480252261713,3.80922247072274,3.66189044964235,1.54054971329599,3.39221926356509,-2.56630598258707,-0.541818279121883,4.67084796664174,7.04714782822185,5.66954758438201,5.7100539914857,0.181454756089356,6.83784587209912,8.11530364538899,-2.23680085436145,-2.02091350919274,0.780835992593896,3.84088556697593,3.66282079605216,5.94553917567366,6.91408400995296,7.17839671463806,8.18632469228901,6.34639536506839,7.79741606821114,7.68382731556444,6.65959616008098,7.20621205904656,7.79697861384524,7.69066364476479,7.77907848702655,-1.72853242790153,4.40080351970831,4.54838365943735,0.472268950794537,0.813536997042259,4.24810128151885,2.60086746852723,4.71596140372686,3.86294406805078,3.03992373567509,4.53924557221324,2.05979696887435,-2.03509045732223,2.88557668724303,4.12073251842724,3.85578263908631,4.51160328883033,4.52813317454374,5.80510054911007,3.96912021843358,4.27192532750401,3.2161827716307,5.15779106287513,-1.35852320021577,2.97173342326296,4.4353308825139,1.89127240416067
"ENSG00000004700",5.65004772085106,6.66479814509758,5.93707020751461,6.12214293210789,5.09827253007083,4.70964656249995,-2.28569430371562,5.2908569754231,5.12137795039565,5.7767327878708,5.48298733731939,4.58526418473922,5.35456932906842,3.95079837746632,6.80652836155348,6.83181545108466,6.37624926104755,6.59594247345746,-0.981343481865911,5.23954143440278,3.390740047449,5.22743040514653,3.01641358101927,3.54354365445616,4.33526009216839,6.91840559902261,5.23256079352697,5.03932355091279,4.89794972808186,4.26030536446774,4.45879848949837,5.10492653852917,6.26041251302707,6.55529062131373,6.14568113949468,5.54375146839776,4.54462147527408,4.17292520330335,5.80130966887475,5.97052525601908,5.73446016877339,4.17959463543171,6.04901654768599,5.57957249503452,5.16628533540642,6.51315124557381,6.13651691976645,4.30008797541186,4.16403424412639,5.70602459365087,6.33860024965164,6.2799769660031,5.80872367705289,5.86617886307598,6.18925862226614,4.21899556372361,5.99281553924765,6.76256579713768,6.3954654456449,5.66792262370929,6.71886444154562,5.51897317525826,4.99570648177887,6.96699704654061,5.40942885125394,6.04507085523794,5.79420032901497,5.67489980132168,5.67553215349397,4.29912649891558,6.6743797799716
"ENSG00000004866",6.9664917660797,6.62753088738089,6.50202274750427,6.9658155340663,6.92117845566295,6.78453377413094,-2.28569430371562,7.22218843029491,7.36125779846093,6.38168676377943,7.37757103747629,6.06525712585883,6.23691774041414,6.66639032083996,5.36518509972135,7.97724589060623,7.47128705085888,7.23083493382573,6.92354197785223,7.25908162079842,6.41627513955614,6.78902891280218,6.14436631198627,6.50859105562173,6.32305103447317,7.04237427733618,7.11450503200525,7.63818049329232,7.02074564244448,6.37271790725484,5.77886384036855,6.4106747063611,6.18293376034935,6.48574968806066,5.9473524230487,5.72432371403958,7.34079265883901,5.71134511808747,5.96876641472632,6.13717512542854,6.8009555805603,6.35436903653542,5.19152819215374,7.09780888195487,6.63341134583372,7.28723001275711,6.35641861687916,7.41478345613378,7.15338699992688,6.28493804969922,6.12576340067641,7.32540971398354,6.49826076865898,5.80219076820416,7.63043975317012,6.89099863288633,6.88675047975226,7.45659999700631,6.33242505110648,6.49021381607176,6.2501889786647,5.93171155844752,6.08568784861654,6.98389557111397,5.79129948659759,6.28113821347147,6.06182200434441,7.91992625800471,8.31427954922882,7.58489493050753,8.77310014124261
"ENSG00000004897",6.5298384790354,6.24713038977407,6.86995601165607,7.27195846631517,6.52198978504209,7.1408529986723,5.75322468557668,7.39401296465271,7.53421454148122,5.57543439816898,7.38950653505202,6.31461659479555,6.65900999722694,2.67069045827359,6.57285601535103,7.44086357033013,7.40679832440716,7.50436333732091,5.23459391733324,5.18610217544132,4.83131263883498,7.06671009460037,6.85338015918742,6.18371165720077,7.29206856159025,6.47527579271441,6.76556467176391,7.30041754617714,6.45076170519931,5.41578662914673,5.81566928136709,6.00787876577808,6.58045349837017,7.01626440475944,6.47552889767828,6.52763180303448,6.64805106492949,6.99977630098675,5.52489623323976,6.04697731645696,6.77472403898712,6.86991013629909,6.18436840058088,6.79496152863321,6.86765732824288,6.93405098388531,6.67480702224307,7.14186270198287,7.09523524714109,6.91106629424128,6.50365949592213,6.78263244337214,5.80872367705289,6.39042098275923,6.60790556811347,6.62458158765788,7.29358447000571,7.46899702315578,6.94223162280511,6.57417612721609,7.33278606474323,7.09779653888201,6.39819093071463,7.90956337375312,7.25985249520343,7.01082664193875,6.42439208372912,6.70217273147179,6.87278314028242,7.65911519497702,7.19139612872969
"ENSG00000005020",10.8276630703131,10.7156280894377,10.4344767147632,11.0073360033023,9.79526403109621,10.7939757581674,10.6240113074999,10.8202384778299,11.2678172728743,10.4660319484067,11.1901598939017,9.77958905573431,10.2017210361778,9.36384549467611,10.2150624679067,11.0518639319528,11.0816463286455,10.6303691998092,9.90613101746426,11.120405026196,9.17957488153581,10.3939716337908,8.2753214902743,8.17754364848587,8.66929478991241,10.5318982870369,9.89187959846756,10.8495012644211,10.5242923182329,10.2691396422018,10.0589991702874,9.98602343702939,10.1572098795997,9.73273947313786,9.67555938243677,10.0306088311744,10.0605343675408,9.69797986000143,9.37823485053049,10.1615592840555,9.97376597304619,9.54988575188047,8.42661824026251,9.58109996478112,10.4523091376651,11.2990323143745,10.2562211273562,10.1272629237583,11.5598833578754,10.9976047259934,10.6850538953394,10.7566880032729,9.97352364631734,11.0812037904979,10.4014442917572,10.8189084059107,10.5047953354292,10.7263949507109,10.856920588974,10.5285368754034,10.623881711079,10.450463524499,10.1452524026163,10.9465348410644,10.180418027709,10.7789607671028,10.2202513669489,10.9178920416769,10.792105815328,10.8438040736837,11.0248427795087
"ENSG00000005022",6.20205549861748,6.13778299358571,6.29433137551425,5.02676488403063,5.7948803866209,5.958818314952,5.88923137878506,6.34423032629889,5.6464689951394,6.15266125011053,5.61083729246471,5.67123740784907,5.45526332868789,6.60480252261713,6.41201826453122,5.87488417297655,6.78425264087785,5.97397220781035,7.34208663818668,5.79803172376274,5.79283849102035,5.7712542110742,5.78331645933958,6.04965073446607,5.90937521065255,6.17232701732957,6.08708574307941,5.75755258249741,5.41371471844399,5.51084882611834,5.42584806769709,6.70765644411823,6.12196574305792,5.43130190403828,5.60631550521363,5.09629249142654,5.77811160549386,5.45303312249608,6.27612839647902,4.1284049158008,5.13582273115516,5.51023994742018,6.94694463842612,5.92574813616856,5.68932008698437,5.19357090554287,6.52074267571005,5.33024994592211,5.20585441982102,5.55335063525958,6.54811580175189,5.90225636627694,5.55425854994427,6.71972860801219,5.85207145999335,5.22972197031667,5.65839650017709,6.24041940460312,6.05716738964977,6.55363919621339,5.51968563512819,6.21870586322549,6.38734354847764,5.44847253119413,4.84616142163211,6.21301549255201,5.65945091690173,5.21133240811518,5.99880166646113,6.11259023055583,5.26050621382639
"ENSG00000005075",4.08835499945275,4.74404489610732,4.3757589748581,4.01634826808529,3.84910077761879,4.75618914843698,3.44222615084758,3.63151227837936,4.24495263551418,4.13706439505951,3.90912254548156,4.48029462513767,4.47138299405117,4.11126304965957,3.80922247072274,3.00981375306266,3.22860570698125,3.46718132124631,4.90129956749593,3.15862143901921,2.16834762611255,3.89678509315806,3.99295460819528,4.85931952236192,3.64088637472665,3.8503989224422,3.86577846285534,2.807593264997,3.47093958713694,4.02291077979204,3.11341142178702,4.13149625893308,4.28842688919666,4.05279028078455,4.80376156941985,4.80678587423155,3.85873006570214,4.82500189988304,4.49776010330225,4.32544176286036,3.46597133284749,3.22266335732359,4.90835614074887,4.34078563544741,2.79502952815549,3.92348174217512,3.67153189021021,4.77969747598678,3.24649640431837,3.53307824023332,3.3130651575445,3.206947756239,4.34159766662559,4.19746501266157,3.15709995449177,3.88082682782903,3.00930366203622,4.10796910857947,3.03534102719659,4.49560707484198,3.39342186248202,4.45317111686252,4.35986281205553,3.17443912641108,4.13762423579242,3.44938194792373,4.11428942423855,3.28533298955896,3.70869901742917,2.28477120593851,3.47623490488183
"ENSG00000005175",6.40102017301115,6.82857840631899,6.48581252032301,6.1699186566773,6.39003865444795,5.43712070768886,6.95031988818446,6.48395508996551,5.95365050465758,6.4251447194632,6.15617702105228,5.95204651541084,5.96821458449366,4.54515957618973,1.65002387587349,0.202458831005054,5.75432900432773,5.42549541843939,-2.56630598258707,1.78010981576548,3.390740047449,7.23176934087087,5.37510022591675,5.26507920805276,4.91480909670318,6.38448025416118,6.56504953367381,6.57377078037969,6.78965812554841,5.72064121067515,5.00922257151505,4.30958858124679,6.24142940965949,5.92725939870069,5.10541726928095,4.5754603281251,6.20553282922854,5.88913223730275,5.9421722047146,5.99002143164488,5.13582273115516,6.19048295157444,6.61546575075582,6.07196887701961,6.26582100895733,6.63907368554876,4.24184761496697,5.33024994592211,5.54689133765609,6.32479403851333,7.42673968193857,6.89366375576089,6.74277836522904,6.42906691065871,6.16005327188112,5.92769343286701,3.32246154729585,6.34500830588032,3.82753614208319,6.15061707309139,5.00165414252602,5.86097704691028,6.95588050128568,6.19272447943883,5.9992407516365,6.1281265949655,6.5494281295739,5.53629456309218,4.7475182663197,5.38910786575325,4.35942123989908
